image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250612_171533954_0021.tiff,18.7343,-67.8803,895.742,-95.3958,42.4087,900.595,-111.281,-113.129,5.59434,158.786,3.22219,0.706713,0.00706621,0.00202653,0.707462,0.0590169
Basler_acA2040-35gm__23324651__20250612_171533954_0022.tiff,18.7343,-67.8803,895.742,-95.3958,42.4087,900.595,-111.281,-113.129,5.59434,158.786,3.22219,0.706713,0.00706621,0.00202653,0.707462,0.0603857
Basler_acA2040-35gm__23324651__20250612_171533954_0023.tiff,18.7335,-67.8843,895.773,-95.3976,42.4076,900.597,-111.285,-113.13,5.53701,158.788,3.22406,0.706707,0.00682603,0.00210771,0.70747,0.0630176
Basler_acA2040-35gm__23324651__20250612_171533954_0024.tiff,18.7338,-67.8825,895.767,-95.3983,42.4103,900.615,-111.283,-113.132,5.62182,158.79,3.22614,0.706692,0.00709017,0.00223711,0.707482,0.061561
Basler_acA2040-35gm__23324651__20250612_171533954_0025.tiff,18.7338,-67.8825,895.767,-95.3983,42.4103,900.615,-111.283,-113.132,5.62182,158.79,3.22614,0.706692,0.00709017,0.00223711,0.707482,0.0581734
Basler_acA2040-35gm__23324651__20250612_171533954_0026.tiff,18.7338,-67.8825,895.767,-95.3983,42.4103,900.615,-111.283,-113.132,5.62182,158.79,3.22614,0.706692,0.00709017,0.00223711,0.707482,0.0591618
Basler_acA2040-35gm__23324651__20250612_171533954_0027.tiff,18.7355,-67.883,895.804,-95.3966,42.4122,900.608,-111.29,-113.13,5.51128,158.79,3.22649,0.706687,0.00706137,0.00202266,0.707488,0.0569725
Basler_acA2040-35gm__23324651__20250612_171533954_0028.tiff,18.7338,-67.8876,895.779,-95.3975,42.404,900.594,-111.283,-113.132,5.54239,158.787,3.22374,0.706691,0.00688397,0.00223249,0.707485,0.056985
Basler_acA2040-35gm__23324651__20250612_171533954_0029.tiff,18.7338,-67.8876,895.779,-95.3975,42.404,900.594,-111.283,-113.132,5.54239,158.787,3.22374,0.706691,0.00688397,0.00223249,0.707485,0.0698457
Basler_acA2040-35gm__23324651__20250612_171533954_0030.tiff,18.736,-67.8834,895.767,-95.3949,42.4065,900.598,-111.282,-113.131,5.55965,158.786,3.22268,0.706695,0.00664679,0.00213227,0.707484,0.0589369
Basler_acA2040-35gm__23324651__20250612_171533954_0031.tiff,18.7342,-67.8874,895.813,-95.3992,42.4078,900.615,-111.292,-113.134,5.40878,158.791,3.2273,0.706697,0.00666364,0.00164754,0.707483,0.0609219
Basler_acA2040-35gm__23324651__20250612_171533954_0032.tiff,18.7315,-67.8793,895.749,-95.4008,42.4103,900.615,-111.277,-113.132,5.66411,158.788,3.22468,0.706691,0.00710889,0.00229088,0.707483,0.0597263
Basler_acA2040-35gm__23324651__20250612_171533954_0033.tiff,18.7315,-67.8793,895.749,-95.4008,42.4103,900.615,-111.277,-113.132,5.66411,158.788,3.22468,0.706691,0.00710889,0.00229088,0.707483,0.0568694
Basler_acA2040-35gm__23324651__20250612_171533954_0034.tiff,18.7344,-67.8857,895.82,-95.397,42.4087,900.596,-111.29,-113.131,5.43675,158.788,3.22449,0.706683,0.00661006,0.00201817,0.707496,0.0553853
Basler_acA2040-35gm__23324651__20250612_171533954_0035.tiff,18.7348,-67.8838,895.808,-95.3991,42.411,900.623,-111.288,-113.133,5.51839,158.791,3.22779,0.706693,0.00679738,0.00190875,0.707485,0.057268
Basler_acA2040-35gm__23324651__20250612_171533954_0036.tiff,18.7348,-67.8838,895.808,-95.3991,42.411,900.623,-111.288,-113.133,5.51839,158.791,3.22779,0.706693,0.00679738,0.00190875,0.707485,0.05666
Basler_acA2040-35gm__23324651__20250612_171533954_0037.tiff,18.7348,-67.8838,895.808,-95.3991,42.411,900.623,-111.288,-113.133,5.51839,158.791,3.22779,0.706693,0.00679738,0.00190875,0.707485,0.0578935
Basler_acA2040-35gm__23324651__20250612_171533954_0038.tiff,18.7337,-67.8801,895.763,-95.3975,42.411,900.604,-111.278,-113.133,5.62607,158.788,3.22411,0.706684,0.00695408,0.0023002,0.707492,0.0576424
Basler_acA2040-35gm__23324651__20250612_171533954_0039.tiff,18.7321,-67.8786,895.761,-95.3961,42.4123,900.579,-111.28,-113.129,5.58456,158.785,3.22108,0.706689,0.00659102,0.00227971,0.70749,0.0584335
Basler_acA2040-35gm__23324651__20250612_171533954_0040.tiff,18.7321,-67.8786,895.761,-95.3961,42.4123,900.579,-111.28,-113.129,5.58456,158.785,3.22108,0.706689,0.00659102,0.00227971,0.70749,0.0579095
Basler_acA2040-35gm__23324651__20250612_171533954_0041.tiff,18.7359,-67.8849,895.809,-95.3976,42.4089,900.611,-111.288,-113.136,5.43859,158.79,3.22637,0.706698,0.00652205,0.00173084,0.707483,0.0614671
Basler_acA2040-35gm__23324651__20250612_171533954_0042.tiff,18.7305,-67.885,895.767,-95.4024,42.4061,900.609,-111.283,-113.132,5.58237,158.789,3.2253,0.706699,0.00700237,0.00203068,0.707477,0.0657881
Basler_acA2040-35gm__23324651__20250612_171533954_0043.tiff,18.7305,-67.885,895.767,-95.4024,42.4061,900.609,-111.283,-113.132,5.58237,158.789,3.2253,0.706699,0.00700237,0.00203068,0.707477,0.0572812
Basler_acA2040-35gm__23324651__20250612_171533954_0044.tiff,18.7357,-67.8859,895.792,-95.3943,42.4055,900.573,-111.284,-113.131,5.48148,158.785,3.22164,0.706689,0.00680889,0.00197901,0.707489,0.0570346
Basler_acA2040-35gm__23324651__20250612_171533954_0045.tiff,18.7352,-67.8809,895.77,-95.3946,42.4099,900.579,-111.284,-113.128,5.54425,158.785,3.22184,0.706692,0.0069322,0.00223021,0.707483,0.0563991
