image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250710_164008603_0044.tiff,74.779,-52.2758,987.594,-15.6029,42.264,990.62,94.9917,-89.9559,0.561213,130.827,-0.035116,0.999936,0.00113349,-0.0112178,-0.000357206,0.065746
Basler_acA2040-35gm__23324651__20250710_164008603_0045.tiff,74.7807,-52.2667,987.591,-15.6015,42.2754,990.677,94.9927,-89.9595,0.574362,130.831,-0.0318831,0.999943,0.00113416,-0.0106006,-0.000360481,0.064827
Basler_acA2040-35gm__23324651__20250710_164008603_0046.tiff,74.7916,-52.2682,987.552,-15.5901,42.2703,990.638,94.9916,-89.956,0.645253,130.828,-0.0347903,0.999939,0.00104793,-0.011,-0.000352111,0.0661783
Basler_acA2040-35gm__23324651__20250710_164008603_0047.tiff,74.7832,-52.2679,987.576,-15.5989,42.2744,990.673,94.9927,-89.9595,0.665464,130.831,-0.0314591,0.99994,0.00113258,-0.010848,-0.000361233,0.07296
Basler_acA2040-35gm__23324651__20250710_164008603_0048.tiff,74.7832,-52.2679,987.576,-15.5989,42.2744,990.673,94.9927,-89.9595,0.665464,130.831,-0.0314591,0.99994,0.00113258,-0.010848,-0.000361233,0.0715781
Basler_acA2040-35gm__23324651__20250710_164008603_0049.tiff,74.7794,-52.2715,987.575,-15.6004,42.2699,990.668,94.9909,-89.958,0.669399,130.829,-0.0337698,0.999939,0.000922743,-0.0110083,-0.000351299,0.0685195
Basler_acA2040-35gm__23324651__20250710_164008603_0050.tiff,74.784,-52.2727,987.581,-15.5972,42.2694,990.656,94.9903,-89.9604,0.628026,130.83,-0.0327907,0.999941,0.000880959,-0.0108506,-0.000362729,0.0676502
Basler_acA2040-35gm__23324651__20250710_164008603_0051.tiff,74.8,-52.2814,987.551,-15.5811,42.2559,990.646,94.9924,-89.9534,0.660542,130.827,-0.0358354,0.999934,0.00116613,-0.0114336,-0.000344732,0.0702643
Basler_acA2040-35gm__23324651__20250710_164008603_0052.tiff,74.8,-52.2814,987.551,-15.5811,42.2559,990.646,94.9924,-89.9534,0.660542,130.827,-0.0358354,0.999934,0.00116613,-0.0114336,-0.000344732,0.0689139
Basler_acA2040-35gm__23324651__20250710_164008603_0053.tiff,74.7982,-52.2817,987.609,-15.5848,42.2613,990.664,94.9938,-89.9591,0.583985,130.831,-0.0313675,0.99994,0.00111413,-0.0109178,-0.000340566,0.0842213
Basler_acA2040-35gm__23324651__20250710_164008603_0054.tiff,74.7917,-52.2785,987.602,-15.5898,42.262,990.633,94.9915,-89.9569,0.515049,130.828,-0.0347849,0.999939,0.00120705,-0.0110123,-0.000346555,0.0686841
Basler_acA2040-35gm__23324651__20250710_164008603_0055.tiff,74.7849,-52.2712,987.595,-15.5971,42.2707,990.645,94.9923,-89.9581,0.601049,130.83,-0.0329593,0.999935,0.00123379,-0.011289,-0.000352755,0.0694032
Basler_acA2040-35gm__23324651__20250710_164008603_0056.tiff,74.7849,-52.2712,987.595,-15.5971,42.2707,990.645,94.9923,-89.9581,0.601049,130.83,-0.0329593,0.999935,0.00123379,-0.011289,-0.000352755,0.0697608
Basler_acA2040-35gm__23324651__20250710_164008603_0057.tiff,74.7928,-52.272,987.614,-15.5909,42.2707,990.637,94.9935,-89.9593,0.491831,130.831,-0.0318389,0.999937,0.00149651,-0.0110949,-0.000352903,0.0685024
Basler_acA2040-35gm__23324651__20250710_164008603_0058.tiff,74.7907,-52.2658,987.595,-15.5905,42.2757,990.674,94.9915,-89.9589,0.588055,130.829,-0.0331233,0.999944,0.00138477,-0.0105129,-0.000362882,0.0805497
Basler_acA2040-35gm__23324651__20250710_164008603_0059.tiff,74.7907,-52.2658,987.595,-15.5905,42.2757,990.674,94.9915,-89.9589,0.588055,130.829,-0.0331233,0.999944,0.00138477,-0.0105129,-0.000362882,0.0659046
