image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250612_171533954_0047.tiff,-97.94223724622819,-68.86845685437987,858.615205885046,10.686776289357637,42.50592521447956,859.8094705493925,109.68111536871893,-110.34406332332385,0.42714376424224376,155.5825884571383,0.019098457138312597,-0.01996098880363057,0.04369564654537236,0.7050744923722593,0.707504211722421,0.1748
Basler_acA2040-35gm__23324651__20250612_171533954_0048.tiff,-97.95165196182101,-68.86216101075418,858.6701089593444,10.692694466619079,42.546177241254355,860.6286499650399,109.81772111389495,-110.2611462417867,1.3399569418269808,155.62534409860058,0.06185409860057689,-0.014564545612042125,0.03441663758628035,0.7055141284598352,0.7077098159640917,0.2039
Basler_acA2040-35gm__23324651__20250612_171533954_0049.tiff,-97.9442453318932,-68.85633449283594,858.5849805523494,10.69560703418833,42.51525698991008,860.1460560646458,109.72142904447877,-110.31669988554681,0.34583677994692863,155.5914067944588,0.027916794458803906,-0.016760038946577682,0.039877130801845406,0.7053167607259179,0.7075713268445945,0.2920
Basler_acA2040-35gm__23324651__20250612_171533954_0050.tiff,-97.9442453318932,-68.85633449283594,858.5849805523494,10.69560703418833,42.51525698991008,860.1460560646458,109.72142904447877,-110.31669988554681,0.34583677994692863,155.5914067944588,0.027916794458803906,-0.016760038946577682,0.039877130801845406,0.7053167607259179,0.7075713268445945,0.2708
Basler_acA2040-35gm__23324651__20250612_171533954_0051.tiff,-97.93819698899922,-68.8527915607954,858.5371592869461,10.687029998775078,42.51774177783221,860.019007972674,109.7732803337389,-110.24271548389578,1.1841103455451085,155.57966290554575,0.016172905545744243,-0.020154862495507478,0.03971936421295443,0.7053654235449108,0.7074431234322759,0.2126
Basler_acA2040-35gm__23324651__20250612_171533954_0052.tiff,-97.93819698899922,-68.8527915607954,858.5371592869461,10.687029998775078,42.51774177783221,860.019007972674,109.7732803337389,-110.24271548389578,1.1841103455451085,155.57966290554575,0.016172905545744243,-0.020154862495507478,0.03971936421295443,0.7053654235449108,0.7074431234322759,0.2118
Basler_acA2040-35gm__23324651__20250612_171533954_0053.tiff,-98.01300658616181,-68.91413164152974,859.2276577657341,10.69054623040136,42.537581292737386,860.5787601345949,109.78914852996368,-110.39065543629712,0.13507755941299937,155.69127203712083,0.1277820371208236,-0.012145660570118068,0.03935391773313856,0.70519321700109,0.7078179700911967,0.2721
Basler_acA2040-35gm__23324651__20250612_171533954_0054.tiff,-98.01300658616181,-68.91413164152974,859.2276577657341,10.69054623040136,42.537581292737386,860.5787601345949,109.78914852996368,-110.39065543629712,0.13507755941299937,155.69127203712083,0.1277820371208236,-0.012145660570118068,0.03935391773313856,0.70519321700109,0.7078179700911967,0.1934
Basler_acA2040-35gm__23324651__20250612_171533954_0055.tiff,-97.96449046651783,-68.87565557630678,858.7859706045768,10.682399981384815,42.497941084689685,859.7724627445496,109.74578235469411,-110.29454335780119,-0.41828793591702773,155.5930525568128,0.02956255681280595,-0.018382002911199676,0.0390568669205641,0.7055199767987574,0.707374176411044,0.1882
Basler_acA2040-35gm__23324651__20250612_171533954_0056.tiff,-97.98410606481498,-68.88553042911977,858.9191722150223,10.695410830979448,42.5229034234886,860.2198509155884,109.76789911735287,-110.34389643746997,-0.0336695102627349,155.6430798052916,0.07958980529159021,-0.01630985669798334,0.039738604519519424,0.7052910103096971,0.7076153069724108,0.2092
Basler_acA2040-35gm__23324651__20250612_171533954_0057.tiff,-97.94974703441275,-68.86489442293065,858.6519280597215,10.703069350821243,42.54962174266867,860.6686635181303,109.75626852821604,-110.34424466787563,0.6366554839961625,155.63642293103234,0.07293293103234078,-0.012187970986761085,0.03945069332547292,0.7052306884641761,0.7077745207392745,0.2041
Basler_acA2040-35gm__23324651__20250612_171533954_0058.tiff,-97.96025294955614,-68.87448251232927,858.7776513261872,10.685983963989093,42.51222272358772,859.944459761279,109.74001087672968,-110.31541211857994,0.06482742148339327,155.60322728244253,0.039737282442530386,-0.014140233283719824,0.04119552889031112,0.7053720524956903,0.7074978796859721,0.2157
Basler_acA2040-35gm__23324651__20250612_171533954_0059.tiff,-97.96025294955614,-68.87448251232927,858.7776513261872,10.685983963989093,42.51222272358772,859.944459761279,109.74001087672968,-110.31541211857994,0.06482742148339327,155.60322728244253,0.039737282442530386,-0.014140233283719824,0.04119552889031112,0.7053720524956903,0.7074978796859721,0.1980
Basler_acA2040-35gm__23324651__20250612_171533954_0060.tiff,-97.99553257256107,-68.90128804075233,859.0564312690598,10.69631015842254,42.51730216110435,860.0481067333691,109.8011175019967,-110.32937702008476,-0.3814455732779054,155.6566809971633,0.0931909971633047,-0.016526189444174673,0.040026227158051604,0.7053968165432719,0.7074885987862738,0.2124
Basler_acA2040-35gm__23324651__20250612_171533954_0061.tiff,-97.94997597722028,-68.8642535769369,858.6750254208577,10.690253345237114,42.5192690955289,860.2543300855255,109.74515588523393,-110.30555730906109,0.40931632122354067,155.6003944512599,0.03690445125988617,-0.016200439512521196,0.0361244693185125,0.705419126969034,0.7076838445113065,0.1974
Basler_acA2040-35gm__23324651__20250612_171533954_0062.tiff,-97.94997597722028,-68.8642535769369,858.6750254208577,10.690253345237114,42.5192690955289,860.2543300855255,109.74515588523393,-110.30555730906109,0.40931632122354067,155.6003944512599,0.03690445125988617,-0.016200439512521196,0.0361244693185125,0.705419126969034,0.7076838445113065,0.2113
Basler_acA2040-35gm__23324651__20250612_171533954_0063.tiff,-98.00058248548797,-68.90146772552599,859.0388548766966,10.702046451549235,42.55214178664549,860.7064826154225,109.85221337480375,-110.33286407631374,0.31609296739232295,155.69505320783242,0.13156320783241426,-0.009232711050403637,0.03752711059721699,0.7054118591022408,0.7077433023736817,0.2251
Basler_acA2040-35gm__23324651__20250612_171533954_0064.tiff,-98.00058248548797,-68.90146772552599,859.0388548766966,10.702046451549235,42.55214178664549,860.7064826154225,109.85221337480375,-110.33286407631374,0.31609296739232295,155.69505320783242,0.13156320783241426,-0.009232711050403637,0.03752711059721699,0.7054118591022408,0.7077433023736817,0.2303
