image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-108.51295661499073,66.40833050745593,863.091280622519,10.825489612631161,-33.46087778889126,857.6349271993183,110.02739789369284,-110.15456785995481,-2.2887111592915232,155.70900843060127,0.14551843060127112,0.03508807834902367,-0.020107285215074006,0.7055402166411909,0.7075150362649218,0.0506
Basler_acA2040-35gm__23324651__20250612_171526586_0007.tiff,-98.00677950522665,-68.9060282952556,859.2215243110328,10.692682407241207,42.523563851198006,860.1597808959905,109.76891341623929,-110.37784769906145,-0.7236961691359234,155.6695453561944,0.1060553561943891,-0.014144900796411846,0.0361739720830139,0.7052940458124686,0.7078500367074062,0.2046
Basler_acA2040-35gm__23324651__20250612_171526586_0008.tiff,-97.99547280867986,-68.89488323741763,859.0193636445847,10.69204695758437,42.53265960301046,860.4143518388208,109.7523780827167,-110.38748233167254,-0.19874134611108651,155.66316278573927,0.09967278573927274,-0.011826983106925157,0.040007710327356935,0.7052263493475992,0.7077537013473039,0.1960
Basler_acA2040-35gm__23324651__20250612_171526586_0009.tiff,-97.99547280867986,-68.89488323741763,859.0193636445847,10.69204695758437,42.53265960301046,860.4143518388208,109.7523780827167,-110.38748233167254,-0.19874134611108651,155.66316278573927,0.09967278573927274,-0.011826983106925157,0.040007710327356935,0.7052263493475992,0.7077537013473039,0.2329
Basler_acA2040-35gm__23324651__20250612_171526586_0010.tiff,-97.96109015023133,-68.87861566083862,858.7702435643008,10.695885642727895,42.501884809446395,859.8650102830259,109.7094490488813,-110.3493692324866,0.07929082272351007,155.6057607791283,0.04227077912830168,-0.018363433445710488,0.0453061294692263,0.705077936701096,0.7074427482997673,0.1937
Basler_acA2040-35gm__23324651__20250612_171526586_0011.tiff,-97.9751187347824,-68.88146476926765,858.881543400859,10.689813564563721,42.51740353373925,860.1608717738325,109.74409799492935,-110.3430340825126,-0.24461529563613027,155.62587205184764,0.06238205184763501,-0.014719893029037607,0.040399455458591284,0.7052300854627999,0.7076734665832787,0.1950
Basler_acA2040-35gm__23324651__20250612_171526586_0012.tiff,-97.90946735837069,-68.83646787077203,858.3311792230099,10.691108171208802,42.51759703762907,860.2440979696705,109.7684526291931,-110.21559204953857,0.9392080035379724,155.55536646195023,-0.00812353804977306,-0.013640530318235828,0.0403592242838927,0.7053554845042745,0.7075724057844396,0.1928
Basler_acA2040-35gm__23324651__20250612_171526586_0013.tiff,-97.90946735837069,-68.83646787077203,858.3311792230099,10.691108171208802,42.51759703762907,860.2440979696705,109.7684526291931,-110.21559204953857,0.9392080035379724,155.55536646195023,-0.00812353804977306,-0.013640530318235828,0.0403592242838927,0.7053554845042745,0.7075724057844396,0.2002
Basler_acA2040-35gm__23324651__20250612_171526586_0014.tiff,-97.94951624243103,-68.8734440795517,858.6470896599985,10.686937642210784,42.49677946257902,859.8861846110626,109.76222471486871,-110.2640849618406,0.9092600961724262,155.58515726364078,0.02166726364077931,-0.018136848728517563,0.042255093271315346,0.7052785850369045,0.707437403095972,0.2247
Basler_acA2040-35gm__23324651__20250612_171526586_0015.tiff,-97.94951624243103,-68.8734440795517,858.6470896599985,10.686937642210784,42.49677946257902,859.8861846110626,109.76222471486871,-110.2640849618406,0.9092600961724262,155.58515726364078,0.02166726364077931,-0.018136848728517563,0.042255093271315346,0.7052785850369045,0.707437403095972,0.2029
Basler_acA2040-35gm__23324651__20250612_171526586_0016.tiff,-97.94951624243103,-68.8734440795517,858.6470896599985,10.686937642210784,42.49677946257902,859.8861846110626,109.76222471486871,-110.2640849618406,0.9092600961724262,155.58515726364078,0.02166726364077931,-0.018136848728517563,0.042255093271315346,0.7052785850369045,0.707437403095972,0.2381
Basler_acA2040-35gm__23324651__20250612_171533954_0000.tiff,-98.03003051515525,-68.91177409115697,859.3099977214334,10.696005560740927,42.54593382545392,860.6011945266303,109.79487438641114,-110.41229374346727,-0.22296360658669023,155.71075352714522,0.1472635271452134,-0.012615593749368357,0.039817373273803004,0.7053216054753646,0.7076558884299484,0.2299
Basler_acA2040-35gm__23324651__20250612_171533954_0001.tiff,-98.03003051515525,-68.91177409115697,859.3099977214334,10.696005560740927,42.54593382545392,860.6011945266303,109.79487438641114,-110.41229374346727,-0.22296360658669023,155.71075352714522,0.1472635271452134,-0.012615593749368357,0.039817373273803004,0.7053216054753646,0.7076558884299484,0.1903
Basler_acA2040-35gm__23324651__20250612_171533954_0002.tiff,-97.96754561922835,-68.8710095420631,858.7565692810506,10.68785554432078,42.51805434786807,860.0817250091444,109.79029112577288,-110.27802746201641,0.3527429594837317,155.61258237684598,0.04909237684597656,-0.01757348408815079,0.04056165195510996,0.7055231217972323,0.70730689920088,0.1865
Basler_acA2040-35gm__23324651__20250612_171533954_0003.tiff,-97.97986538286206,-68.88444952659012,858.9475270362643,10.697848808029557,42.534111096374126,860.3996769937654,109.80329994986229,-110.31899481735601,-0.06822871890166393,155.65040941979348,0.08691941979347462,-0.015148609049142914,0.04024025587405475,0.7053948706841893,0.70750923517895,0.1807
