image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_161106326_0049.tiff,-122.796,101.786,895.945,-20.8486,3.64533,901.826,-100.529,99.6677,-4.432,141.631,0.209877,-0.999991,-0.00365422,0.00111227,-0.00183599,0.0749654
Basler_acA2040-35gm__23324651__20250619_161106326_0050.tiff,-122.806,101.79,895.936,-20.8685,3.64997,901.876,-100.525,99.669,-4.33924,141.626,0.205053,-0.999993,-0.00316949,0.000818651,-0.00184261,0.0973542
Basler_acA2040-35gm__23324651__20250619_161106326_0051.tiff,-122.806,101.79,895.936,-20.8685,3.64997,901.876,-100.525,99.669,-4.33924,141.626,0.205053,-0.999993,-0.00316949,0.000818651,-0.00184261,0.079697
Basler_acA2040-35gm__23324651__20250619_161106326_0052.tiff,-122.825,101.799,895.987,-20.8846,3.65209,901.906,-100.521,99.6762,-4.44542,141.632,0.210793,-0.999993,-0.00293316,0.00144395,-0.00182649,0.078766
Basler_acA2040-35gm__23324651__20250619_161106326_0053.tiff,-122.825,101.799,895.987,-20.8846,3.65209,901.906,-100.521,99.6762,-4.44542,141.632,0.210793,-0.999993,-0.00293316,0.00144395,-0.00182649,0.0831809
Basler_acA2040-35gm__23324651__20250619_161106326_0054.tiff,-122.824,101.791,895.963,-20.8855,3.65037,901.86,-100.519,99.6716,-4.4075,141.626,0.204823,-0.999991,-0.00352722,0.00122059,-0.00180591,0.0920201
Basler_acA2040-35gm__23324651__20250619_161106326_0055.tiff,-122.81,101.786,895.938,-20.8751,3.64607,901.851,-100.528,99.6589,-4.39466,141.623,0.201454,-0.999993,-0.00305311,0.000900941,-0.00187091,0.0735289
Basler_acA2040-35gm__23324651__20250619_161106326_0056.tiff,-122.817,101.79,895.938,-20.8815,3.64913,901.851,-100.528,99.6628,-4.34201,141.624,0.203136,-0.999992,-0.00330503,0.000888519,-0.00186634,0.0821321
Basler_acA2040-35gm__23324651__20250619_161106326_0057.tiff,-122.817,101.79,895.938,-20.8815,3.64913,901.851,-100.528,99.6628,-4.34201,141.624,0.203136,-0.999992,-0.00330503,0.000888519,-0.00186634,0.0723467
Basler_acA2040-35gm__23324651__20250619_161106326_0058.tiff,-122.789,101.78,895.922,-20.8541,3.64446,901.859,-100.519,99.6709,-4.2519,141.621,0.199592,-0.999992,-0.0034066,0.000897473,-0.00182607,0.0969784
Basler_acA2040-35gm__23324651__20250619_161106326_0059.tiff,-122.793,101.788,895.917,-20.8594,3.6512,901.84,-100.527,99.6565,-4.40817,141.621,0.199635,-0.999994,-0.00274604,0.000748215,-0.00186468,0.0754403
Basler_acA2040-35gm__23324651__20250619_161106326_0060.tiff,-122.793,101.788,895.917,-20.8594,3.6512,901.84,-100.527,99.6565,-4.40817,141.621,0.199635,-0.999994,-0.00274604,0.000748215,-0.00186468,0.0810798
Basler_acA2040-35gm__23324651__20250619_161106326_0061.tiff,-122.803,101.781,895.937,-20.8686,3.64139,901.864,-100.527,99.6622,-4.33851,141.623,0.201938,-0.999993,-0.0031545,0.000806199,-0.00186054,0.0815614
Basler_acA2040-35gm__23324651__20250619_161106326_0062.tiff,-122.805,101.785,895.931,-20.8692,3.64735,901.86,-100.524,99.6694,-4.27112,141.624,0.20222,-0.999992,-0.00334557,0.000682313,-0.00183001,0.0917699
Basler_acA2040-35gm__23324651__20250619_161106326_0063.tiff,-122.805,101.785,895.931,-20.8692,3.64735,901.86,-100.524,99.6694,-4.27112,141.624,0.20222,-0.999992,-0.00334557,0.000682313,-0.00183001,0.0705207
Basler_acA2040-35gm__23324651__20250619_161106326_0064.tiff,-122.808,101.789,895.948,-20.8735,3.64758,901.853,-100.519,99.6702,-4.37794,141.624,0.202433,-0.999993,-0.00320575,0.00114324,-0.00183602,0.0799647
Basler_acA2040-35gm__23324651__20250619_161106326_0065.tiff,-122.817,101.797,895.981,-20.8779,3.65166,901.859,-100.521,99.6739,-4.38988,141.628,0.207035,-0.999992,-0.00339999,0.00126332,-0.00183048,0.0798648
Basler_acA2040-35gm__23324651__20250619_161106326_0066.tiff,-122.817,101.797,895.981,-20.8779,3.65166,901.859,-100.521,99.6739,-4.38988,141.628,0.207035,-0.999992,-0.00339999,0.00126332,-0.00183048,0.0799216
Basler_acA2040-35gm__23324651__20250619_161106326_0067.tiff,-122.813,101.794,895.965,-20.8766,3.65291,901.87,-100.522,99.6711,-4.31456,141.625,0.203563,-0.999992,-0.00336138,0.00073614,-0.00183349,0.0850922
Basler_acA2040-35gm__23324651__20250619_161106326_0068.tiff,-122.813,101.791,895.938,-20.8811,3.6537,901.916,-100.528,99.6633,-4.27885,141.622,0.200899,-0.999994,-0.00271264,0.000687311,-0.00185063,0.0787
Basler_acA2040-35gm__23324651__20250619_161106326_0069.tiff,-122.813,101.791,895.938,-20.8811,3.6537,901.916,-100.528,99.6633,-4.27885,141.622,0.200899,-0.999994,-0.00271264,0.000687311,-0.00185063,0.0735417
Basler_acA2040-35gm__23324651__20250619_161106326_0070.tiff,-122.805,101.792,895.963,-20.8686,3.65031,901.906,-100.522,99.6711,-4.36591,141.626,0.205131,-0.999993,-0.00288015,0.0016592,-0.00185916,0.0740253
Basler_acA2040-35gm__23324651__20250619_161106326_0071.tiff,-122.8,101.781,895.903,-20.8659,3.64633,901.863,-100.525,99.6658,-4.25039,141.621,0.199698,-0.999992,-0.00348729,0.000757028,-0.00184285,0.0958771
Basler_acA2040-35gm__23324651__20250619_161106326_0072.tiff,-122.803,101.79,895.967,-20.8644,3.6496,901.858,-100.525,99.6642,-4.42251,141.626,0.204332,-0.999993,-0.00293211,0.00109193,-0.00184954,0.0952977
Basler_acA2040-35gm__23324651__20250619_161106326_0073.tiff,-122.803,101.79,895.967,-20.8644,3.6496,901.858,-100.525,99.6642,-4.42251,141.626,0.204332,-0.999993,-0.00293211,0.00109193,-0.00184954,0.0724634
Basler_acA2040-35gm__23324651__20250619_161106326_0074.tiff,-122.804,101.79,895.939,-20.8687,3.6531,901.952,-100.525,99.6678,-4.3503,141.626,0.204278,-0.999995,-0.0025431,0.000726873,-0.00183617,0.0682626
Basler_acA2040-35gm__23324651__20250619_161106326_0075.tiff,-122.822,101.799,895.995,-20.8806,3.65551,901.841,-100.52,99.6677,-4.53258,141.628,0.206548,-0.999992,-0.003188,0.00138083,-0.00182884,0.0686074
Basler_acA2040-35gm__23324651__20250619_161106326_0076.tiff,-122.837,101.802,895.957,-20.9008,3.65822,901.847,-100.528,99.661,-4.42303,141.625,0.204119,-0.999992,-0.00347355,0.000675926,-0.00184386,0.0833262
Basler_acA2040-35gm__23324651__20250619_161106326_0077.tiff,-122.837,101.802,895.957,-20.9008,3.65822,901.847,-100.528,99.661,-4.42303,141.625,0.204119,-0.999992,-0.00347355,0.000675926,-0.00184386,0.0705357
Basler_acA2040-35gm__23324651__20250619_161106326_0078.tiff,-122.846,101.803,895.985,-20.9071,3.65739,901.861,-100.528,99.6616,-4.50979,141.629,0.207281,-0.999993,-0.00308269,0.000949709,-0.00184529,0.0686145
Basler_acA2040-35gm__23324651__20250619_161106326_0079.tiff,-122.828,101.795,895.958,-20.889,3.65501,901.826,-100.53,99.6596,-4.38943,141.625,0.203493,-0.999992,-0.00354515,0.000938014,-0.00186176,0.0689569
Basler_acA2040-35gm__23324651__20250619_161106326_0080.tiff,-122.828,101.795,895.958,-20.889,3.65501,901.826,-100.53,99.6596,-4.38943,141.625,0.203493,-0.999992,-0.00354515,0.000938014,-0.00186176,0.0700155
