image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_100734275_0052.tiff,-39.4081,66.8503,777.449,58.2837,-26.8744,817.106,-100.007,99.386,-4.65159,141.07,-0.351735,-0.999914,0.0130079,-0.000288461,-0.00165131,0.0652903
Basler_acA2040-35gm__23324651__20250619_100734275_0053.tiff,-38.1589,66.7436,773.152,60.6062,-29.5774,803.349,-100.088,99.5437,-4.18413,141.224,-0.197688,-0.999928,0.0116134,-0.00226363,-0.00184296,0.0625444
Basler_acA2040-35gm__23324651__20250619_100734275_0054.tiff,-38.1589,66.7436,773.152,60.6062,-29.5774,803.349,-100.088,99.5437,-4.18413,141.224,-0.197688,-0.999928,0.0116134,-0.00226363,-0.00184296,0.0769181
Basler_acA2040-35gm__23324651__20250619_100734275_0055.tiff,-37.2231,67.3615,768.826,62.5374,-30.9202,788.877,-100.325,99.7224,-1.93409,141.469,0.0476289,-0.999979,0.00461868,-0.00364527,-0.00265703,0.065031
Basler_acA2040-35gm__23324651__20250619_100734275_0056.tiff,-36.7994,66.827,762.68,64.3985,-31.8976,771.455,-100.536,99.7762,-1.34833,141.649,0.228113,0.999938,-0.0017193,-0.0107194,0.00240446,0.0726674
Basler_acA2040-35gm__23324651__20250619_100734275_0057.tiff,66.1039,-30.3196,752.721,-35.4723,68.0368,759.506,100.168,-99.9915,-2.40084,141.555,0.13339,-0.999815,-0.0126994,-0.0144223,0.000946626,0.0646215
Basler_acA2040-35gm__23324651__20250619_100734275_0058.tiff,66.1039,-30.3196,752.721,-35.4723,68.0368,759.506,100.168,-99.9915,-2.40084,141.555,0.13339,-0.999815,-0.0126994,-0.0144223,0.000946626,0.0703692
Basler_acA2040-35gm__23324651__20250619_100734275_0059.tiff,66.6814,-29.1972,750.266,-34.5514,68.9008,763.5,100.145,-100.066,-2.05651,141.585,0.164042,-0.999757,-0.0163811,-0.0147736,0.000569963,0.0625455
Basler_acA2040-35gm__23324651__20250619_100734275_0060.tiff,66.1038,-28.1758,739.089,-34.3801,69.082,762.074,100.127,-100.292,-0.753759,141.719,0.298135,-0.999759,-0.018908,-0.0111105,0.000518144,0.0670924
Basler_acA2040-35gm__23324651__20250619_100734275_0061.tiff,63.2581,-28.0306,729.795,-35.3569,69.0743,761.458,100.174,-100.608,0.395078,141.975,0.553332,-0.999749,-0.0205327,-0.00889109,0.000756288,0.0852671
Basler_acA2040-35gm__23324651__20250619_100734275_0062.tiff,63.2581,-28.0306,729.795,-35.3569,69.0743,761.458,100.174,-100.608,0.395078,141.975,0.553332,-0.999749,-0.0205327,-0.00889109,0.000756288,0.0686515
Basler_acA2040-35gm__23324651__20250619_100734275_0063.tiff,61.153,-27.0218,723.483,-35.7047,69.859,761.554,100.248,-100.826,1.11154,142.186,0.764285,-0.999761,-0.0206951,-0.00690408,0.00107542,0.0687357
Basler_acA2040-35gm__23324651__20250619_100734275_0064.tiff,61.3488,-26.2254,719.435,-34.2272,70.519,761.323,100.313,-100.915,1.53483,142.298,0.877129,-0.999772,-0.0205741,-0.00559848,0.00131686,0.0790947
Basler_acA2040-35gm__23324651__20250619_100734275_0065.tiff,58.6329,-26.2515,714.032,-34.9326,70.6946,760.267,100.411,-101.018,1.95022,142.446,1.02422,-0.99978,-0.0204429,-0.00432713,0.0015854,0.105663
Basler_acA2040-35gm__23324651__20250619_100734275_0066.tiff,58.6329,-26.2515,714.032,-34.9326,70.6946,760.267,100.411,-101.018,1.95022,142.446,1.02422,-0.99978,-0.0204429,-0.00432713,0.0015854,0.0723909
Basler_acA2040-35gm__23324651__20250619_100734275_0067.tiff,53.7529,-26.5579,709.231,-37.1372,70.8964,759.805,100.509,-101.042,2.18292,142.535,1.11328,-0.9998,-0.019666,-0.00319106,0.00180499,0.0751292
Basler_acA2040-35gm__23324651__20250619_100734275_0068.tiff,50.2016,-26.6864,706.727,-38.2486,71.4147,760.493,100.597,-101.059,2.30596,142.612,1.19024,-0.999807,-0.0193777,-0.00268162,0.00194154,0.0735907
Basler_acA2040-35gm__23324651__20250619_100734275_0069.tiff,52.6721,-28.3111,715.931,-37.3965,71.0505,764.01,100.537,-100.917,2.16755,142.466,1.04513,-0.999789,-0.0203265,-0.00220172,0.00196397,0.100969
Basler_acA2040-35gm__23324651__20250619_100734275_0070.tiff,52.6721,-28.3111,715.931,-37.3965,71.0505,764.01,100.537,-100.917,2.16755,142.466,1.04513,-0.999789,-0.0203265,-0.00220172,0.00196397,0.0769179
Basler_acA2040-35gm__23324651__20250619_100734275_0071.tiff,59.463,-31.4623,743.104,-35.1737,70.0733,772.954,100.301,-100.457,2.1848,141.974,0.552405,0.999773,0.0209902,-0.00305726,-0.00181751,0.0746527
Basler_acA2040-35gm__23324651__20250619_100734275_0072.tiff,61.76,-31.2196,758.856,-34.6233,70.8838,779.034,100.388,-100.164,3.37158,141.852,0.430678,0.999864,0.0159218,-0.00405327,-0.00120185,0.0794183
Basler_acA2040-35gm__23324651__20250619_100734275_0073.tiff,64.1953,-30.5307,768.255,-33.5412,71.1519,782.407,100.426,-99.9799,3.26466,141.746,0.32513,0.999887,0.0148194,-0.00227181,-0.00109341,0.0980042
Basler_acA2040-35gm__23324651__20250619_100734275_0074.tiff,66.0997,-29.4972,774.271,-32.2493,71.959,784.598,100.415,-99.9065,2.83795,141.677,0.256101,0.999886,0.0150288,-0.00110901,-0.00111146,0.0757935
Basler_acA2040-35gm__23324651__20250619_100734275_0075.tiff,66.0997,-29.4972,774.271,-32.2493,71.959,784.598,100.415,-99.9065,2.83795,141.677,0.256101,0.999886,0.0150288,-0.00110901,-0.00111146,0.0729643
Basler_acA2040-35gm__23324651__20250619_100734275_0076.tiff,66.5608,-28.6521,781.619,-32.5684,72.3143,786.798,100.38,-99.8227,2.62653,141.59,0.168312,0.999886,0.0150694,-0.000566547,-0.00111822,0.0829743
Basler_acA2040-35gm__23324651__20250619_100734275_0077.tiff,-32.5301,71.9821,787.656,68.1385,-27.3241,791.475,-100.505,99.3949,-5.46959,141.458,0.0369852,-0.999891,0.0147118,-0.000221883,-0.00117096,0.0909479
Basler_acA2040-35gm__23324651__20250619_100734275_0078.tiff,-32.5301,71.9821,787.656,68.1385,-27.3241,791.475,-100.505,99.3949,-5.46959,141.458,0.0369852,-0.999891,0.0147118,-0.000221883,-0.00117096,0.0704109
Basler_acA2040-35gm__23324651__20250619_100734275_0079.tiff,-32.7417,71.1585,785.327,68.0554,-26.949,798.888,-100.361,99.3324,-5.45156,141.312,-0.109487,-0.999891,0.0146905,-0.000229464,-0.00131992,0.0701534
Basler_acA2040-35gm__23324651__20250619_100734275_0080.tiff,-32.7417,71.1585,785.327,68.0554,-26.949,798.888,-100.361,99.3324,-5.45156,141.312,-0.109487,-0.999891,0.0146905,-0.000229464,-0.00131992,0.0716722
Basler_acA2040-35gm__23324651__20250619_100734275_0081.tiff,-34.5304,69.8712,785.179,65.3498,-26.2425,811.931,-100.156,99.3639,-5.01319,141.172,-0.249042,-0.999904,0.0137909,-0.000843092,-0.00141116,0.0665863
Basler_acA2040-35gm__23324651__20250619_100734275_0082.tiff,-34.5304,69.8712,785.179,65.3498,-26.2425,811.931,-100.156,99.3639,-5.01319,141.172,-0.249042,-0.999904,0.0137909,-0.000843092,-0.00141116,0.0649807
Basler_acA2040-35gm__23324651__20250619_100734275_0083.tiff,-35.6853,69.3738,787.767,63.0534,-25.5557,821.738,-100.05,99.412,-4.70358,141.12,-0.301113,-0.999919,0.0125998,-0.00114951,-0.00154322,0.0644076
Basler_acA2040-35gm__23324651__20250619_100734275_0084.tiff,-37.1336,68.4778,788.246,60.8297,-26.0566,825.452,-100.021,99.4678,-4.43743,141.131,-0.290817,-0.999929,0.0117115,-0.00135653,-0.00171666,0.0717227
Basler_acA2040-35gm__23324651__20250619_100734275_0085.tiff,-37.1336,68.4778,788.246,60.8297,-26.0566,825.452,-100.021,99.4678,-4.43743,141.131,-0.290817,-0.999929,0.0117115,-0.00135653,-0.00171666,0.0622585
Basler_acA2040-35gm__23324651__20250619_100734275_0086.tiff,-38.3825,67.4382,784.093,59.8832,-29.9554,812.836,-100.143,99.6351,-3.48361,141.308,-0.113821,-0.999954,0.00890958,-0.00296187,-0.00216725,0.062622
Basler_acA2040-35gm__23324651__20250619_100734275_0087.tiff,-38.96,66.0849,779.527,61.1521,-30.8334,804.321,-100.38,99.7434,-2.31158,141.528,0.107091,-0.999982,0.00538446,-0.000238706,-0.00279571,0.0638176
Basler_acA2040-35gm__23324651__20250619_100734275_0088.tiff,-36.5033,65.816,775.588,70.589,-25.7081,790.5,-100.576,99.7554,-1.04635,141.661,0.239548,0.999987,-0.00131619,-0.00407721,0.00278306,0.0720939
Basler_acA2040-35gm__23324651__20250619_100734275_0089.tiff,-33.6821,64.5979,768.432,80.0946,-19.6468,773.293,-100.625,99.6922,-1.38477,141.654,0.232898,0.999931,-0.00624879,-0.00978116,0.00190126,0.0674114
Basler_acA2040-35gm__23324651__20250619_100734275_0090.tiff,-33.6821,64.5979,768.432,80.0946,-19.6468,773.293,-100.625,99.6922,-1.38477,141.654,0.232898,0.999931,-0.00624879,-0.00978116,0.00190126,0.0690469
Basler_acA2040-35gm__23324651__20250619_100734275_0091.tiff,-35.1085,62.3014,768.993,81.1279,-18.3075,777.204,-100.683,99.687,-1.28535,141.69,0.268943,0.99995,-0.00571571,-0.00796761,0.00214226,0.0668616
Basler_acA2040-35gm__23324651__20250619_100734275_0092.tiff,-36.1746,60.2295,764.583,84.2277,-14.1645,771.009,-100.728,99.6195,-1.54068,141.677,0.255978,0.999938,-0.00823762,-0.00727601,0.00191218,0.0679165
Basler_acA2040-35gm__23324651__20250619_100734275_0093.tiff,-36.3012,58.3961,759.065,88.3154,-8.83075,758.345,-100.641,99.5823,-1.99988,141.595,0.174031,0.999916,-0.01031,-0.00769295,0.00147776,0.0803592
Basler_acA2040-35gm__23324651__20250619_100734275_0094.tiff,-36.3012,58.3961,759.065,88.3154,-8.83075,758.345,-100.641,99.5823,-1.99988,141.595,0.174031,0.999916,-0.01031,-0.00769295,0.00147776,0.0629989
Basler_acA2040-35gm__23324651__20250619_100734275_0095.tiff,90.9801,-3.59593,751.845,-36.9567,56.739,757.145,100.314,-99.8564,-1.38447,141.549,0.127923,-0.999907,-0.0115155,-0.00720824,0.00128451,0.0625813
Basler_acA2040-35gm__23324651__20250619_100734275_0096.tiff,-38.7772,54.4197,759.484,90.085,-4.18969,757.325,-100.613,99.5875,-2.12803,141.581,0.159686,0.999915,-0.0105158,-0.00756211,0.00140552,0.0684522
Basler_acA2040-35gm__23324651__20250619_100734275_0097.tiff,-39.6822,52.494,756.745,92.0938,0.899796,752.901,-100.599,99.5802,-2.28261,141.568,0.147108,0.99991,-0.0112313,-0.00720371,0.00131987,0.081848
Basler_acA2040-35gm__23324651__20250619_100734275_0098.tiff,-39.6822,52.494,756.745,92.0938,0.899796,752.901,-100.599,99.5802,-2.28261,141.568,0.147108,0.99991,-0.0112313,-0.00720371,0.00131987,0.0638822
Basler_acA2040-35gm__23324651__20250619_100734275_0099.tiff,-40.9799,50.7099,756.319,92.9477,4.97256,752.521,-100.564,99.621,-2.33063,141.573,0.151754,0.999907,-0.0108766,-0.00813528,0.00126545,0.0675675
Basler_acA2040-35gm__23324651__20250619_100811591_0000.tiff,-69.4126,61.1726,869.072,36.8094,-32.4651,869.77,-100.164,99.8062,-7.59006,141.604,0.182373,0.999753,-0.00439042,-0.0217037,0.00213533,0.0640889
Basler_acA2040-35gm__23324651__20250619_100811591_0001.tiff,-69.4126,61.1726,869.072,36.8094,-32.4651,869.77,-100.164,99.8062,-7.59006,141.604,0.182373,0.999753,-0.00439042,-0.0217037,0.00213533,0.0635507
Basler_acA2040-35gm__23324651__20250619_100811591_0002.tiff,-69.4138,61.0531,868.987,36.9111,-32.4589,869.873,-100.162,99.8224,-7.30993,141.599,0.177662,0.999742,-0.00350841,-0.0223165,0.00215444,0.087095
Basler_acA2040-35gm__23324651__20250619_100811591_0003.tiff,-69.4138,61.0531,868.987,36.9111,-32.4589,869.873,-100.162,99.8224,-7.30993,141.599,0.177662,0.999742,-0.00350841,-0.0223165,0.00215444,0.0627095
Basler_acA2040-35gm__23324651__20250619_100811591_0004.tiff,-69.6543,60.9899,868.94,36.8017,-32.3894,868.727,-100.198,99.6718,-8.85981,141.607,0.185924,0.999795,-0.00721969,-0.0187976,0.00225519,0.0628345
Basler_acA2040-35gm__23324651__20250619_100811591_0005.tiff,-71.4069,58.2206,868.006,31.8273,-38.7141,866.148,-100.348,99.5166,-9.15424,141.623,0.201678,0.999896,-0.00934165,-0.0107922,0.00216714,0.062725
Basler_acA2040-35gm__23324651__20250619_100811591_0006.tiff,-75.5669,57.2447,866.175,25.0931,-42.372,862.26,-100.482,99.5007,-8.61584,141.673,0.251787,0.999947,-0.0092175,-0.00419611,0.00176659,0.0760303
Basler_acA2040-35gm__23324651__20250619_100811591_0007.tiff,-75.5669,57.2447,866.175,25.0931,-42.372,862.26,-100.482,99.5007,-8.61584,141.673,0.251787,0.999947,-0.0092175,-0.00419611,0.00176659,0.0755008
