image_name,M1_tx_mm,M1_ty_mm,M1_tz_mm,M2_tx_mm,M2_ty_mm,M2_tz_mm,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250619_100540546_0000.tiff,-7.58526,-73.8588,868.816,-91.6661,40.0325,875.068,100.172,-100.028,6.30937,141.704,0.282256,-0.999957,-0.00667823,-0.00619253,0.00199323,0.0679818
Basler_acA2040-35gm__23324651__20250619_100540546_0001.tiff,-7.58526,-73.8588,868.816,-91.6661,40.0325,875.068,100.172,-100.028,6.30937,141.704,0.282256,-0.999957,-0.00667823,-0.00619253,0.00199323,0.087191
Basler_acA2040-35gm__23324651__20250619_100540546_0002.tiff,-7.58739,-73.862,868.883,-91.6743,40.0372,875.123,100.177,-100.031,6.39349,141.713,0.291701,-0.999957,-0.00698878,-0.00580912,0.00195586,0.0734382
Basler_acA2040-35gm__23324651__20250619_100540546_0003.tiff,-7.58739,-73.862,868.883,-91.6743,40.0372,875.123,100.177,-100.031,6.39349,141.713,0.291701,-0.999957,-0.00698878,-0.00580912,0.00195586,0.0718194
Basler_acA2040-35gm__23324651__20250619_100540546_0004.tiff,-7.59436,-73.8898,868.898,-91.6724,40.0091,875.052,100.165,-100.038,6.26728,141.704,0.282419,-0.999959,-0.00639008,-0.0061166,0.00196637,0.0657661
Basler_acA2040-35gm__23324651__20250619_100540546_0005.tiff,-7.58559,-73.8703,868.854,-91.6703,40.0255,875.12,100.173,-100.029,6.43099,141.71,0.288622,-0.99996,-0.00660812,-0.00570129,0.00199239,0.0746728
Basler_acA2040-35gm__23324651__20250619_100540546_0006.tiff,-7.58751,-73.8633,868.862,-91.6682,40.0317,875.081,100.168,-100.032,6.35191,141.705,0.283667,-0.999957,-0.00733521,-0.00533653,0.00198854,0.0874648
Basler_acA2040-35gm__23324651__20250619_100540546_0007.tiff,-7.58751,-73.8633,868.862,-91.6682,40.0317,875.081,100.168,-100.032,6.35191,141.705,0.283667,-0.999957,-0.00733521,-0.00533653,0.00198854,0.0663996
Basler_acA2040-35gm__23324651__20250619_100540546_0008.tiff,-7.59135,-73.8572,868.819,-91.6729,40.0338,875.077,100.169,-100.024,6.42407,141.704,0.282622,-0.99996,-0.00657577,-0.00568814,0.00197591,0.0704294
Basler_acA2040-35gm__23324651__20250619_100540546_0009.tiff,-7.58439,-73.8722,868.865,-91.6673,40.0226,875.089,100.174,-100.027,6.35971,141.706,0.285084,-0.999961,-0.00634389,-0.005751,0.0019755,0.0701024
Basler_acA2040-35gm__23324651__20250619_100540546_0010.tiff,-7.59063,-73.8912,868.833,-91.6738,39.9994,875.087,100.173,-100.018,6.48048,141.705,0.283159,-0.999962,-0.00616293,-0.00587761,0.00197738,0.0949867
Basler_acA2040-35gm__23324651__20250619_100540546_0011.tiff,-7.59063,-73.8912,868.833,-91.6738,39.9994,875.087,100.173,-100.018,6.48048,141.705,0.283159,-0.999962,-0.00616293,-0.00587761,0.00197738,0.070337
Basler_acA2040-35gm__23324651__20250619_100540546_0012.tiff,-7.59136,-73.8595,868.858,-91.6668,40.0322,875.061,100.165,-100.029,6.29893,141.699,0.277194,-0.999959,-0.00671537,-0.00579728,0.00199033,0.0650237
Basler_acA2040-35gm__23324651__20250619_100540546_0013.tiff,-7.58708,-73.8631,868.813,-91.669,40.0271,875.093,100.168,-100.025,6.4364,141.705,0.283165,-0.999958,-0.00669612,-0.00588357,0.00201544,0.0660976
Basler_acA2040-35gm__23324651__20250619_100540546_0014.tiff,-7.58664,-73.8757,868.83,-91.671,40.0175,875.093,100.175,-100.023,6.44596,141.708,0.286329,-0.999958,-0.00639251,-0.00619624,0.00201832,0.0822167
